date,timestamp,regime,regime_confidence,vix_level,trend_strength,is_cpi_day,is_fomc_day,spx_close,spx_change_pct,spx_volatility_5d,spx_volatility_20d,vix_close,vix_change_pct,vix_volatility_5d,vix_volatility_20d,ndx_close,ndx_change_pct,ndx_volatility_5d,ndx_volatility_20d,dji_close,dji_change_pct,dji_volatility_5d,dji_volatility_20d,rut_close,rut_change_pct,rut_volatility_5d,rut_volatility_20d,tnx_close,tnx_change_pct,tnx_volatility_5d,tnx_volatility_20d,dxy_close,dxy_change_pct,dxy_volatility_5d,dxy_volatility_20d,regime_numeric,vix_regime,news_intensity,news_sentiment_numeric,news_confidence,news_article_count,news_avg_tone
2025-09-01,2025-09-01 22:12:15.907798,Ranging,70.0,16.1200008392334,0.6398184293571648,False,True,6460.259765625,-0.6398184293571648,0.0,0.0,16.1200008392334,4.947924476194681,0.0,0.0,23415.419921875,-1.2151366420004472,0.0,0.0,45544.87890625,-0.20163406015862645,0.0,0.0,2366.419921875,-0.5041179055523387,0.0,0.0,4.2270002365112305,0.47540905194975064,0.0,0.0,97.77100372314453,0.0010300502328966987,0.0,0.0,0.0,medium,0.0,0.0,0.0,0.0,0.0
2025-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
